#1PLIK TESTOWY
#2
#3 tego nie wczytujemy bo to
#4 komentarze
WYMIARY 18 15
#5
#6
#7
#8
#9 tego tez nie
#10
#11 X  Y     Kod Koloru
90	90	2
150	90	2
210	90	2
270	90	1
330	90	2
390	90	1
450	90	1
510	90	2
570	90	1
630	90	2
690	90	1
750	90	2
810	90	1
870	90	2
930	90	2
990	90	2
90	150	2
150	150	1
210	150	1
270	150	1
330	150	2
390	150	1
450	150	1
510	150	2
570	150	1
630	150	2
690	150	1
750	150	2
810	150	1
870	150	1
930	150	1
990	150	2
90	210	2
150	210	1
210	210	1
270	210	1
330	210	2
390	210	2
450	210	2
510	210	2
570	210	1
630	210	2
690	210	1
750	210	2
810	210	1
870	210	1
930	210	1
990	210	2
90	270	2
150	270	1
210	270	1
270	270	1
330	270	2
390	270	1
450	270	1
510	270	2
570	270	1
630	270	2
690	270	1
750	270	2
810	270	1
870	270	2
930	270	1
990	270	2
90	330	2
150	330	2
210	330	2
270	330	1
330	330	2
390	330	1
450	330	1
510	330	2
570	330	1
630	330	2
690	330	2
750	330	2
810	330	1
870	330	2
930	330	2
990	330	2
# nalezy pamietać zeby nie zostawic na dole pustych linijek
