#1PLIK TESTOWY
#2
#3 tego nie wczytujemy bo to
#4 komentarze
WYMIARY 13 15
#5
#6
#7
#8
#9 tego tez nie
#10
#11 X  Y     Kod Koloru
90	90	99
150	90	99
210	90	99
270	90	99
330	90	99
390	90	99
450	90	99
510	90	99
570	90	99
630	90	99
690	90	99
90	150	99
150	150	99
210	150	99
270	150	99
330	150	99
390	150	99
450	150	99
510	150	99
570	150	99
630	150	99
690	150	99
90	210	99
150	210	99
210	210	99
270	210	99
330	210	99
390	210	99
450	210	99
510	210	99
570	210	99
630	210	99
690	210	99
90	270	99
150	270	99
210	270	99
270	270	99
330	270	99
390	270	99
450	270	99
510	270	99
570	270	99
630	270	99
690	270	99
90	330	99
150	330	99
210	330	99
270	330	99
330	330	99
390	330	99
450	330	99
510	330	99
570	330	99
630	330	99
690	330	99
# nalezy pamietać zeby nie zostawic na dole pustych linijek
